CZ Name,State,"AM, 80-82 Cohort","RM, College Attendance","RM, Teenage birth","RM, College Quality","Average of Percent of adults with less than a high school diploma, 2011-2015","Average of Percent of adults with a high school diploma only, 2011-2015","Average of Percent of adults completing some college or associate's degree, 2011-2015","Average of Percent of adults with a bachelor's degree or higher, 2011-2015",Average of Top 1% Income Share
Erie,PA,43.7,0.699,-0.275,0.197,12.08571429,45.42857143,24.04285714,18.47142857,0.085245714
Roanoke,VA,39.6,0.816,-0.344,0.236,12.93333333,33.8,28.76666667,24.49166667,0.0782075
Elkins,WV,44.8,0.847,-0.209,0.216,15.7,48.375,20.375,15.525,0.0538175
Morgantown,WV,44,0.783,-0.257,0.216,13.91666667,40.76666667,24.31666667,21.03333333,0.06644
Buckhannon,WV,46.6,0.775,-0.219,0.17,14.6,49.05,21.15,15.2,0.08314
Beckley,WV,43.4,0.689,-0.237,0.175,17.6,42.1,24.725,15.6,0.093555
Summersville,WV,46.5,0.739,-0.138,0.186,21.625,44.175,21.275,12.95,0.115755
Charleston,WV,42.3,0.718,-0.257,0.183,18.91666667,43.1,23.48333333,14.45,0.087308333
Spencer,WV,47.1,0.674,-0.158,0.179,22.3,47.7,19.15,10.85,0.064285
Pikeville,KY,43.2,0.676,-0.222,0.176,26.04285714,38.31428571,25.04285714,10.57142857,0.09413
Huntington,KY,39.8,0.768,-0.245,0.195,17.1875,37.95,27.9,16.9625,0.0799125
Harrisonburg,VA,44.1,0.76,-0.292,0.201,18.56,38.08,22,21.34,0.085332
Staunton,VA,41.9,0.787,-0.282,0.207,15.62727273,35.99090909,25.27272727,23.09090909,0.048885
Hagerstown,PA,42.9,0.737,-0.309,0.19,13.95,40.76666667,25.46666667,19.78333333,0.07684
Cumberland,MD,43.7,0.792,-0.314,0.238,14.8,46.46,23.6,15.12,0.089804
Winchester,VA,41.7,0.798,-0.276,0.215,15.625,34.725,25.05,24.625,0.10988
Charlottesville,VA,39.2,0.824,-0.33,0.23,14.46666667,32.15555556,24.71111111,28.65555556,0.10332
Syracuse,NY,42.3,0.676,-0.264,0.212,11.11428571,33.78571429,31.04285714,24.07142857,0.085421429
Oneonta,NY,44.6,0.589,-0.221,0.2,11.96666667,37.46666667,28.8,21.76666667,0.070736667
Union,NY,43.7,0.735,-0.25,0.217,10.03333333,38.26666667,28.76666667,22.9,0.08145
Buffalo,NY,42,0.651,-0.295,0.205,11.26363636,34.03636364,30.89090909,23.76363636,0.088434545
Elmira,NY,44.2,0.786,-0.265,0.226,9.7,35.3,28.08,26.92,0.089162
Olean,NY,45.1,0.705,-0.232,0.185,11.5,44,26.9,17.55,0.1187575
St. Marys,PA,48.2,0.619,-0.169,0.183,9.7,49.55,24.55,16.25,0.096775
Watertown,NY,44.7,0.696,-0.199,0.213,11.2,38.3,31.06666667,19.4,0.06291
Plattsburgh,NY,43.6,0.675,-0.228,0.212,13.53333333,35.33333333,29.83333333,21.33333333,0.06589
Amsterdam,NY,43.4,0.747,-0.273,0.204,13,35.8,32.23333333,18.96666667,0.04768
Albany,NY,43.1,0.702,-0.245,0.222,9.922222222,32.42222222,29.48888889,28.2,0.089088889
Sunbury,PA,47.9,0.703,-0.201,0.209,14.675,44.325,20.95,20.1,0.0987225
Scranton,PA,45.9,0.62,-0.193,0.2,10.21428571,41.11428571,26.8,21.85714286,0.103664286
Williamsport,PA,47.1,0.738,-0.267,0.221,11.7,45.95,24.55,17.75,0.07102
Allentown,PA,44.8,0.687,-0.298,0.21,11.36666667,38.2,26.7,23.73333333,0.107373333
Reading,PA,45.5,0.695,-0.287,0.198,14.3,42.05,22.75,20.85,0.105065
Harrisburg,PA,43.9,0.718,-0.301,0.204,13.1,42.85714286,23.14285714,20.9,0.100101429
Poughkeepsie,NY,42.6,0.606,-0.226,0.186,11.325,30.125,29.85,28.725,0.0924225
New York,NY,43.8,0.634,-0.211,0.216,14.86666667,25.16666667,22.8,37.13333333,0.194127778
Toms River,NJ,45.2,0.562,-0.193,0.186,8.4,30.85,26.05,34.7,0.124485
Newark,NJ,44.1,0.594,-0.246,0.203,11.03846154,26.96923077,22.55384615,39.42307692,0.162153077
Philadelphia,PA,40.8,0.689,-0.317,0.219,11.29166667,32.03333333,25,31.65833333,0.135000833
Wilmington,DE,37.7,0.759,-0.345,0.211,10.95,33.2,27.3,28.5,0.099175
Dover,DE,38.7,0.699,-0.356,0.179,14.1,35.1,26.94,23.84,0.096492
Easton,MD,39.9,0.677,-0.32,0.172,13.06,34,26.02,26.9,0.133642
Chincoteague,VA,38.5,0.797,-0.344,0.231,20,37.05,23.35,19.7,0.11841
Bangor,ME,41.8,0.66,-0.205,0.171,8.34,35.46,28.96,27.22,0.083352
Calais,ME,38.9,0.643,-0.125,0.143,12.3,38.3,29.3,20.1,0.0618
Presque Isle,ME,43.6,0.653,-0.178,0.16,13.4,39,30.4,17.2,0.07492
Portland,ME,42.8,0.688,-0.197,0.184,8.5,35.55,29.6,26.35,0.08517125
Burlington,VT,43.8,0.671,-0.194,0.194,7.983333333,30.45,26.85,34.7,0.088296667
Berlin,VT,44.8,0.685,-0.182,0.177,12.95,39.3,27,20.725,0.09451
Claremont,VT,44.3,0.674,-0.187,0.196,8.12,32.28,25.52,34.08,0.102474
Providence,RI,43.4,0.586,-0.25,0.186,11.25,26.06666667,26.41666667,36.31666667,0.135653333
Nantucket,MA,,,,0,5.2,25.4,25.7,43.7,0
Oak Bluffs,MA,43.4,0.487,,0.157,6.8,23.1,29.8,40.3,0.10469
Boston,MA,44.6,0.604,-0.22,0.195,8.985714286,24.95714286,24.51428571,41.52857143,0.201757143
Manchester,NH,44.2,0.658,-0.192,0.173,7.471428571,29.28571429,29.64285714,33.62857143,0.116238571
Keene,NH,43.2,0.613,-0.137,0.173,8.05,32.25,26,33.7,0.200095
Springfield,MA,41.5,0.664,-0.315,0.197,9.7,27.36666667,27.86666667,35.06666667,0.10094
Bridgeport,CT,42.4,0.677,-0.288,0.211,9.2625,28.6125,26.65,35.4375,0.131485
Pittsfield,MA,42.5,0.691,-0.23,0.199,9.3,31.2,27,32.55,0.12381
Ashland,WI,46.2,0.635,-0.169,0.181,7.933333333,35.6,33.46666667,23.03333333,0.07951
Houghton,MI,46.7,0.676,-0.224,0.206,11.03333333,36.83333333,29.8,22.33333333,0.090736667
Ironwood,MI,46.2,0.615,-0.177,0.146,7.766666667,38.26666667,35.83333333,18.13333333,0.04405
Rhinelander,WI,45.7,0.606,-0.198,0.19,9.4,35.46666667,33.56666667,21.6,0.095076667
Rice Lake,WI,46.7,0.671,-0.247,0.198,10,39.075,32.2,18.725,0.1174175
Amery,WI,46.9,0.585,-0.153,0.171,8.2,39.5,33.7,18.6,0.070125
Hutchinson,MN,52.6,0.55,-0.171,0.143,9.033333333,39.03333333,34.16666667,17.73333333,0.062873333
Redwood Falls,MN,56.2,0.517,-0.167,0.151,11.1,37.7,34.85,16.35,0.070525
Mankato,MN,51.9,0.489,-0.183,0.153,9.02,33.64,32.92,24.42,0.109638
Owatonna,MN,48.5,0.58,-0.193,0.169,8.566666667,34.16666667,32.83333333,24.46666667,0.075373333
St. Cloud,MN,51,0.539,-0.132,0.154,8.35,31.8,37.675,22.15,0.0859275
Minneapolis,MN,44.2,0.629,-0.241,0.178,6.266666667,26.49166667,33.29166667,33.94166667,0.105135833
Pine City,MN,47.1,0.639,-0.244,0.156,11.4,41.15,34.1,13.35,0.064345
Brainerd,MN,45.7,0.649,-0.182,0.188,8.05,34.625,37.125,20.2,0.0966425
Rochester,MN,50.5,0.584,-0.189,0.167,6.98,32.44,34.78,25.82,0.134714
Austin,MN,49.1,0.599,-0.225,0.178,11.55,34.65,36.3,17.55,0.05748
Mason City,IA,50,0.616,-0.223,0.197,7.375,34.975,38.575,19.075,0.076055
Decorah,IA,56.6,0.512,-0.134,0.161,9.76,40.4,32.12,17.72,0.090228
Marshalltown,IA,48.4,0.672,-0.3,0.189,10.1,37.6,32.8,19.55,0.0824725
Waterloo,IA,48.9,0.569,-0.251,0.171,7.666666667,37.43333333,33.43333333,21.46666667,0.069305
Iowa Falls,IA,52,0.554,-0.19,0.169,10.55,36.5,35.5,17.45,0.11904
Iowa City,IA,47,0.609,-0.251,0.192,10.74,32.44,31.68,25.14,0.078822
Cedar Rapids,IA,47.5,0.577,-0.222,0.18,7,35.4,35.025,22.6,0.0983675
Ottumwa,IA,49.2,0.557,-0.231,0.166,10.2125,38.6125,31.375,19.8,0.09372375
Sheboygan,WI,47.2,0.656,-0.259,0.185,9.35,38.3,30.8,21.55,0.111345
Oshkosh,WI,47.7,0.61,-0.215,0.185,9.328571429,38.4,30.47142857,21.8,0.096715714
Green Bay,WI,47.2,0.697,-0.216,0.187,8.425,38.025,31.35,22.2,0.10808
Shawano,WI,44.2,0.669,-0.21,0.168,10.26666667,43.83333333,30.4,15.5,0.066313333
Wausau,WI,49.2,0.644,-0.206,0.189,11.18571429,40.54285714,30.34285714,17.91428571,0.089448571
Eau Claire,WI,49,0.627,-0.227,0.187,9.1125,37.0125,32.325,21.5625,0.0794
La Crosse,WI,47.7,0.654,-0.215,0.194,9.94,36.34,33.28,20.44,0.12176
Monroe,WI,51,0.661,-0.177,0.174,9.2,40.475,31.375,18.95,0.0944375
Madison,WI,44.5,0.636,-0.242,0.192,8.733333333,35.26666667,31.91666667,24.1,0.1203
Dubuque,IA,53.6,0.557,-0.203,0.167,9.08,40.86,30,20.04,0.085674
Charleston,IL,43.9,0.69,-0.284,0.214,10.95,36.7,33.85,18.475,0.06226
Douglas,IL,47.4,0.584,-0.266,0.186,11.9,37.54,33.48,17.06,0.081102
Bloomington,IL,44.2,0.653,-0.291,0.205,8.366666667,34.93333333,30.56666667,26.13333333,0.072443333
Decatur,IL,42,0.737,-0.354,0.224,10.44285714,35.64285714,31.21428571,22.7,0.08671
Burlington,IA,46.7,0.647,-0.224,0.175,9.733333333,39.9,33.46666667,16.88333333,0.066716667
Galesburg,IL,44.2,0.738,-0.265,0.208,11.25,34.175,32.4,22.175,0.1167225
Davenport,IL,43.6,0.747,-0.324,0.213,9.88,35.2,33.3,21.6,0.076598
Clinton,IA,48.3,0.611,-0.245,0.161,8.9,40.55,33.1,17.45,0.07197
Peoria,IL,42.4,0.745,-0.356,0.219,9.5125,36.95,33.5625,20.0125,0.0880975
Kenosha,WI,40.5,0.659,-0.333,0.18,10.6,33.025,32.5,23.85,0.11101
Milwaukee,WI,39.3,0.642,-0.387,0.212,8.116666667,30.26666667,30.9,30.71666667,0.11777
Bourbonnais,IL,42.6,0.756,-0.331,0.172,11.8,37.6,33.55,17.05,0.08467
Chicago,IL,39.4,0.672,-0.357,0.206,10.1375,25.4375,29.5875,34.8,0.13195375
Rockford,IL,41.5,0.651,-0.322,0.184,11.0625,35.075,33.825,20.05,0.08363375
Rolla,MO,42.9,0.742,-0.266,0.189,17.12,38.1,27.18,17.6,0.089294
Farmington,MO,42.1,0.695,-0.221,0.164,18.93333333,39.9,28.88333333,12.26666667,0.095395
St. Louis,MO,38.4,0.708,-0.349,0.198,12.54545455,33.03636364,31.03636364,23.37272727,0.093824545
Mexico,MO,44.9,0.742,-0.352,0.189,16.8,44.6,26.6,12,0.091365
Jacksonville,IL,44.9,0.738,-0.267,0.217,12.33333333,43.18333333,29.48333333,14.98333333,0.036278333
Springfield,IL,41.3,0.747,-0.397,0.212,10.3,35.675,32,21.975,0.095935
Edwardsville,IL,42.8,0.737,-0.281,0.193,10.58333333,38.71666667,32.9,17.83333333,0.060888333
Quincy,IL,45.5,0.808,-0.344,0.205,13.8,42.93333333,27.56666667,15.71666667,0.073718333
Mountain Home,AR,43.7,0.698,-0.315,0.162,14.56666667,41.06666667,29.73333333,14.66666667,0.097496667
West Plains,MO,44,0.693,-0.331,0.162,16.92,40.66,29.48,12.92,0.072956
Harrison,AR,44.7,0.622,-0.283,0.149,16.8,38.375,29.875,14.975,0.0755675
Heber Springs,AR,44.7,0.724,-0.257,0.182,18,39.1,27.93333333,15,0.087806667
Batesville,AR,44.1,0.72,-0.32,0.176,17.26666667,41.6,28.33333333,12.83333333,0.067663333
Henderson,KY,43.1,0.744,-0.337,0.182,16.2,40.05714286,29.75714286,14.02857143,0.058654286
Union City,TN,39.8,0.751,-0.325,0.183,19.04,38.76,26.82,15.36,0.060832
Paducah,KY,41.1,0.778,-0.276,0.187,15.44285714,37.25714286,32.18571429,15.12857143,0.086824286
Murray,KY,41.9,0.665,-0.303,0.195,12.6,31.6,28.3,27.5,0.1414
Centralia,IL,44.9,0.662,-0.29,0.182,11.56,34.24,36.9,17.3,0.078798
Carbondale,IL,42.8,0.675,-0.262,0.177,14.82222222,33.8,34.18888889,17.15555556,0.072474444
Harrisburg,IL,44.5,0.655,-0.363,0.145,14.93333333,36.26666667,37.03333333,11.76666667,0.053036667
Cape Girardeau,MO,41.4,0.793,-0.344,0.204,20.08333333,40.21666667,25.01666667,14.66666667,0.096645
Poplar Bluff,MO,41.1,0.78,-0.357,0.177,22.075,35.925,30.1,11.95,0.0896225
Blytheville,AR,37.8,0.775,-0.371,0.171,24.56666667,37.66666667,25.56666667,12.23333333,0.076433333
Jonesboro,AR,41.1,0.774,-0.29,0.18,18.08333333,40.71666667,26.83333333,14.41666667,0.077071667
Roseau,MN,53.7,0.593,-0.197,0.184,8.35,41.05,33.35,17.25,0.123035
Duluth,MN,44.9,0.593,-0.237,0.188,6.075,33.825,35.9,24.175,0.0676375
West Cook UT,MN,,,,0,4.4,25.1,31.6,39,0
International Falls,MN,49,0.509,-0.127,0.154,10.6,36.5,34.5,18.4,0.12528
Moberly,MO,45.1,0.724,-0.263,0.179,11.45,44.45,30.025,14.1,0.0853025
Marshall,MO,44.8,0.796,-0.335,0.2,13.23333333,43.86666667,24.4,18.5,0.078133333
Brookfield,MO,48.6,0.661,-0.249,0.178,13.35,49.35,22.65,14.6,0.056705
Trenton,MO,45.6,0.824,-0.435,0.18,12.6,44.7,27.15,15.55,0.041065
Polk,MO,47.7,0.666,,0.207,14.25,44.5,25.8,15.5,0.03785
Centerville,IA,50,0.553,-0.237,0.17,10.33333333,41.56666667,32.56666667,15.46666667,0.081096667
Kirksville,MO,47.2,0.622,-0.224,0.184,15.45,40.6,25.85,18.1,0.033225
Bismarck,ND,54.6,0.597,-0.191,0.158,9.34,29.7,37.58,23.38,0.060518
East Grant UT,ND,,,,0,11.1,38.2,33.5,17.1,0
Linton,ND,63.5,0.384,,0.05,18.2,35.9,30.36666667,15.56666667,0
Steele,ND,,,,0,11.6,32.6,36.3,19.5,0
Devils Lake,ND,47.5,0.861,-0.294,0.204,11.33333333,31.16666667,38.6,18.93333333,0.038003333
Carrington,ND,59.4,0.42,,0.127,11.95,30.05,37.65,20.4,0
Turtle Mountain UT,ND,40.8,0.787,-0.16,0.173,12.7,27.5,40.5,19.3,0.035665
Minot,ND,56.2,0.54,-0.167,0.162,8.6,31.925,39.125,20.35,0.0531125
Rugby,ND,60,0.307,-0.098,0.077,14.76666667,34.6,33.9,16.73333333,0
Ekalaka,SD,,,,0,6.95,34.35,35.95,22.75,0
Baker,MT,,,,0,5.7,37.6,40.6,16.1,0
Bowman,ND,,,,0,11.1,31.2,33.85,23.9,0
Lemmon,ND,61.3,0.405,,0.122,8.6,36.6,35.2,19.6,0
Scobey,MT,,,,0,6.2,31.2,40.4,22.2,0
Wolf Point,MT,43.6,0.798,-0.234,0.129,11.7,42.35,30.55,15.5,0.02784
Plentywood,MT,,,,0,8.6,30.4,39.7,21.3,0
Glasgow,MT,51.1,0.557,-0.109,0.134,7.95,37.55,35.2,19.35,0.048865
Glendive,MT,57,0.433,-0.209,0.086,10.3,32.33333333,36.86666667,20.5,0.01587
Dickinson,ND,64,0.412,-0.022,0.123,9.766666667,32.93333333,34.23333333,23.03333333,0.02769
Sidney,ND,55.6,0.668,-0.123,0.174,7.966666667,32.2,39.4,20.43333333,0.039846667
Williston,ND,61.4,0.502,-0.237,0.155,10.9,31.2,37.5,20.4,0.02447
Brookings,SD,53.8,0.514,-0.197,0.146,7.766666667,32.43333333,30.36666667,29.4,0.078436667
Madison,SD,54.3,0.616,-0.235,0.167,7.8,35.55,28.9,27.7,0.05307
Sioux Falls,SD,49.4,0.674,-0.207,0.17,7.02,29.68,31.34,31.94,0.08341
Watertown,SD,54.8,0.499,-0.197,0.137,9.425,40.275,29.775,20.5,0.03799
Milbank,MN,56.1,0.591,-0.201,0.157,9.4,40.5,32.56666667,17.5,0.04439
Sisseton,SD,48.6,0.721,-0.333,0.173,12.03333333,36.03333333,33.23333333,18.7,0.031046667
East Corson UT,SD,33.4,0.563,,0.065,16.9,33.1,33.4,16.7,0
Mobridge,SD,51.7,0.729,,0.167,10.75,39.45,28.1,21.75,0.024855
Aberdeen,SD,54.7,0.547,-0.128,0.169,11.52,33.62,32.24,22.64,0.039896
Bemidji,MN,44.9,0.734,-0.301,0.198,10.58,33.32,35.78,20.36,0.097418
Grafton,ND,56.7,0.466,-0.164,0.143,11.1,34.3,35.9,18.7,0.0717425
Thief River Falls,MN,54.9,0.532,-0.185,0.17,9.433333333,38.1,35.73333333,16.73333333,0.077173333
Grand Forks,ND,50.8,0.576,-0.21,0.194,7.825,27.975,38.65,25.575,0.0616425
Fargo,ND,50.4,0.609,-0.178,0.185,7.94,29.08,38.4,24.58,0.096264
Lisbon,ND,59.8,0.528,-0.157,0.148,10.6,32.63333333,35.26666667,21.5,0.03046
Jamestown,ND,56.5,0.592,-0.138,0.151,10.8,32.83333333,32.93333333,23.36666667,0.048346667
Cooperstown,ND,,,,0,11.7,37.6,32.4,18.3,0
Fergus Falls,MN,52.8,0.526,-0.162,0.165,7.26,31.02,38.02,23.72,0.08433
Little Falls,MN,52,0.496,-0.147,0.159,11.26666667,38.33333333,35.43333333,14.96666667,0.072573333
O'Neill,NE,57.4,0.549,-0.085,0.114,6.466666667,39.2,35.23333333,19.13333333,0.02252
Ord,NE,57.8,0.402,-0.216,0.114,6.05,40.85,36.025,17.1,0
Ainsworth,NE,56.5,0.442,,0.137,8.966666667,41.73333333,32.66666667,16.6,0
Winner,SD,52.3,0.74,-0.224,0.185,13.25,36.65,30.4,19.65,0.069795
Yankton,SD,57.6,0.555,-0.095,0.153,9.05,37.65,32.8,20.5,0.053205
Mitchell,SD,52.3,0.622,-0.186,0.135,8.925,34.3,34.625,22.15,0.038835
Huron,SD,52.1,0.687,-0.206,0.182,13.65,37.1,31.4,17.85,0.04357
Parkston,SD,51.1,0.631,-0.158,0.144,12.7,37.3,28.6,21.43333333,0.060143333
Chamberlain,SD,41,0.711,-0.162,0.181,14.83333333,36.76666667,30.73333333,17.66666667,0.023323333
Miller,SD,,,,0,9.65,40.6,30.5,19.3,0
Pierre,SD,46.7,0.737,-0.141,0.198,9.333333333,32.5,30.3,27.86666667,0.02731
Gettysburg,SD,,,,0,9.8,40.7,29,20.5,0
Willmar,MN,51.9,0.535,-0.196,0.157,10.08,35.52,36.76,17.62,0.074596
Marshall,MN,55.3,0.417,-0.115,0.142,9.925,37.525,31.45,21.1,0.0810925
Sioux Center,IA,58.3,0.48,-0.15,0.125,9.433333333,35.56666667,33.33333333,21.7,0.09458
Worthington,MN,54.3,0.509,-0.171,0.158,13.06,35.88,33.76,17.32,0.065182
Spencer,IA,53.9,0.374,-0.156,0.15,6.3,33.85,38.4,21.45,0.114775
Fairmont,MN,52,0.552,-0.191,0.16,10.46666667,37.7,34.46666667,17.33333333,0.065303333
Storm Lake,IA,54.8,0.582,-0.155,0.176,11.725,36.5,32.575,19.175,0.082805
Fort Dodge,IA,49.7,0.635,-0.248,0.189,8.633333333,36.03333333,37.13333333,18.18333333,0.071853333
Des Moines,IA,45.3,0.662,-0.29,0.2,6.1875,31.9375,32.4,29.4875,0.1002275
Creston,IA,48.5,0.625,-0.272,0.174,10.45,39.675,32.625,17.3,0.0514225
Atlantic,IA,53.2,0.611,-0.203,0.184,8.833333333,41.13333333,31.56666667,18.5,0.08036
Carroll,IA,55.5,0.509,-0.115,0.17,12.86666667,37.36666667,32.4,17.4,0.062793333
Rapid City,SD,45.7,0.666,-0.242,0.169,7.75,31.85,35.76666667,24.6,0.079768333
Eagle Butte,SD,35.2,0.713,,0.126,14.85,37.9,33.3,13.95,0.023675
Southwest Jackson UT,SD,46.1,0.84,,0.175,10.85,34.9,34.3,19.95,0
Murdo,SD,,,,0,7.6,38.8,37,16.6,0
Mission,SD,26.7,0.625,-0.24,0.141,19.25,30.45,35.45,14.85,0.035055
Scottsbluff,NE,49.7,0.539,-0.234,0.167,8.85,31.31666667,37.76666667,22.06666667,0.046441667
Cheyenne,WY,46.1,0.659,-0.225,0.165,8.366666667,29.13333333,39.56666667,22.86666667,0.058823333
Torrington,WY,50.9,0.466,-0.228,0.14,8.4,30.35,38.95,22.25,0.053425
Gordon,SD,34.8,0.686,-0.247,0.143,15.1,29.95,33.95,21,0.040625
Virginia Beach,NE,52.2,0.641,-0.275,0.163,8.75,33.35,38.725,19.175,0.075545
Columbus,NE,55.7,0.492,-0.159,0.144,13.34,36.9,33.42,16.36,0.061816
Hastings,NE,51.5,0.501,-0.152,0.162,9.8,33.56666667,36.06666667,20.6,0.066693333
York,NE,54.9,0.507,-0.061,0.136,6.533333333,34.73333333,37.36666667,21.4,0.051006667
Grand Island,NE,50.3,0.564,-0.253,0.164,9.825,35.1,35.225,19.875,0.074665
Sioux City,IA,48.6,0.667,-0.246,0.169,11.91428571,33.87142857,32.1,22.12857143,0.1014
West Point,NE,46.5,0.794,-0.29,0.169,11.5,37.86666667,34.06666667,16.56666667,0.06652
Lincoln,NE,45.5,0.615,-0.278,0.171,10.08,32.8,35.04,22.08,0.070362
Nebraska City,NE,52.6,0.511,-0.17,0.126,8.38,39.66,31.74,20.2,0.035426
Red Oak,IA,51,0.705,-0.172,0.175,9.42,37.96,35.38,17.2,0.050984
Omaha,NE,43.1,0.705,-0.3,0.189,7.811111111,31.81111111,34.43333333,25.93333333,0.123746667
Sterling,CO,51.8,0.523,-0.321,0.142,11.425,31.8,38.05,18.7,0.04648
Ogallala,NE,53.5,0.542,-0.225,0.184,9.225,34.25,36.425,20.15,0.0306525
Oshkosh,NE,,,,0,5.9,32.5,38.1,23.5,0
Valentine,NE,52.3,0.415,,0.13,5.475,32.875,37.7,23.975,0.0222025
Broken Bow,NE,55.5,0.339,-0.211,0.121,5.333333333,34.83333333,37.56666667,22.26666667,0.022506667
North Platte,NE,48.3,0.421,-0.273,0.123,7.333333333,29.5,41,22.16666667,0.02612
Colorado Springs,CO,41.8,0.631,-0.281,0.157,8.225,25.925,36.225,29.6,0.0911725
Limon,CO,,,,0,20.3,42.2,22.4,15.1,0
Springfield,CO,,,,0,12.8,31.6,36.6,19,0
Pueblo,CO,40.9,0.603,-0.37,0.148,17.24,33.86,35.1,13.76,0.056474
Trinidad,CO,44.8,0.419,-0.388,0.117,13.65,27.65,36.65,22.05,0.07724
Burlington,CO,55.8,0.304,-0.138,0.097,11.5,35.46666667,34.36666667,18.7,0.030116667
Oberlin,KS,54.8,0.391,,0.106,8.7,34.2,31.25,25.8,0
Norton,KS,51.3,0.55,,0.188,13.7,34.6,34.3,17.4,0.05438
Phillipsburg,KS,53.4,0.417,,0.143,8.55,35.3,36.3,19.85,0.04064
Colby,KS,56.4,0.419,-0.169,0.136,7.475,33.975,36.15,22.375,0.0141025
Goodland,KS,50.7,0.596,,0.151,9.6,33.1,37.65,19.65,0.04415
Wano,KS,,,,0,6.9,32,40.1,20.95,0
McCook,NE,52.4,0.458,-0.219,0.123,8.85,33.425,40.075,17.675,0.014735
Kearney,NE,52.8,0.468,-0.212,0.156,7.7,34.375,35.375,22.55,0.0453625
Lexington,NE,51.4,0.491,-0.21,0.151,10.5,34.53333333,36.83333333,18.11666667,0.030363333
Salida,CO,48.1,0.568,-0.106,0.126,8.9,26.7,30.3,34.1,0.04764
Glenwood Springs,CO,47.5,0.51,-0.257,0.14,8.62,21.64,27.42,42.34,0.208766
Granby,CO,42.7,0.576,,0.163,5.5,25.5,32.5,36.4,0.0812
Laramie,WY,49.2,0.565,-0.237,0.174,7.95,29.25,29.1,33.7,0.11701
